date;hashtag;country;t_reception
30-11-2020;NHSCOVID19app;Angleterre;58
11-11-2020;CoronaWarnApp;Allemagne;1
18-11-2020;NHSCOVID19app;Angleterre;146
22-11-2020;NHSCOVID19app;Angleterre;75
07-12-2020;NHSCOVID19app;Angleterre;63
26-11-2020;CoronaWarnApp;Allemagne;1
26-11-2020;NHSCOVID19app;Angleterre;35
18-11-2020;CoronaWarnApp;Allemagne;0
29-11-2020;NHSCOVID19app;Angleterre;65
03-12-2020;NHSCOVID19app;Angleterre;94
07-11-2020;CoronaWarnApp;Allemagne;5
07-12-2020;CoronaWarnApp;Allemagne;6
15-11-2020;CoronaWarnApp;Allemagne;-4
04-12-2020;CoronaWarnApp;Allemagne;0
06-12-2020;NHSCOVID19app;Angleterre;40
19-11-2020;CoronaWarnApp;Allemagne;0
12-11-2020;CoronaWarnApp;Allemagne;-6
27-11-2020;NHSCOVID19app;Angleterre;274
25-11-2020;CoronaWarnApp;Allemagne;10
20-11-2020;NHSCOVID19app;Angleterre;21
09-12-2020;NHSCOVID19app;Angleterre;32
02-12-2020;NHSCOVID19app;Angleterre;33
01-12-2020;CoronaWarnApp;Allemagne;0
29-11-2020;CoronaWarnApp;Allemagne;0
17-11-2020;NHSCOVID19app;Angleterre;8
16-11-2020;CoronaWarnApp;Allemagne;-1
23-11-2020;NHSCOVID19app;Angleterre;94
08-12-2020;CoronaWarnApp;Allemagne;-2
05-12-2020;NHSCOVID19app;Angleterre;107
24-11-2020;NHSCOVID19app;Angleterre;77
24-11-2020;CoronaWarnApp;Allemagne;6
05-12-2020;CoronaWarnApp;Allemagne;9
01-12-2020;NHSCOVID19app;Angleterre;81
28-11-2020;CoronaWarnApp;Allemagne;21
09-12-2020;CoronaWarnApp;Allemagne;1
09-11-2020;CoronaWarnApp;Allemagne;13
13-11-2020;CoronaWarnApp;Allemagne;-13
08-12-2020;NHSCOVID19app;Angleterre;51
02-12-2020;CoronaWarnApp;Allemagne;-11
21-11-2020;CoronaWarnApp;Allemagne;0
16-11-2020;NHSCOVID19app;Angleterre;100
19-11-2020;NHSCOVID19app;Angleterre;115
23-11-2020;CoronaWarnApp;Allemagne;0
10-11-2020;CoronaWarnApp;Allemagne;2
25-11-2020;NHSCOVID19app;Angleterre;32
06-12-2020;CoronaWarnApp;Allemagne;-2
17-11-2020;CoronaWarnApp;Allemagne;-1
21-11-2020;NHSCOVID19app;Angleterre;28
14-11-2020;CoronaWarnApp;Allemagne;5
20-11-2020;CoronaWarnApp;Allemagne;-3
27-11-2020;CoronaWarnApp;Allemagne;0
28-11-2020;NHSCOVID19app;Angleterre;43
30-11-2020;CoronaWarnApp;Allemagne;0
03-12-2020;CoronaWarnApp;Allemagne;-10
04-12-2020;NHSCOVID19app;Angleterre;75
08-11-2020;CoronaWarnApp;Allemagne;21
